prabhag_no,area,population,slums_area,slum_hh,,value_for_area_index,max_value,min_value,area_index,value_for_population_index,max_value,min_value,population_index,value_for_slum_area_index,max_value,min_value,slum_area_index,value_for_slum_hh_index,max_value,min_value,slum_hh_index,structure_index
41,2.68,52741,1342.94,6380,,2.68,0.37,20.86,0.89,52741,24983,89668,0.57,1342.94,0,3439.64,0.61,6380,0,13781,0.54,0.67
42,1.33,45536,1546.64,9,,1.33,0.37,20.86,0.95,45536,24983,89668,0.68,1546.64,0,3439.64,0.55,9,0,13781,1.00,0.82
43,2.26,49976,1452.46,2240,,2.26,0.37,20.86,0.91,49976,24983,89668,0.61,1452.46,0,3439.64,0.58,2240,0,13781,0.84,0.75
44,2.47,40130,545.42,2123,,2.47,0.37,20.86,0.90,40130,24983,89668,0.77,545.42,0,3439.64,0.84,2123,0,13781,0.85,0.84
45,11.58,89668,587.37,2383,,11.58,0.37,20.86,0.45,89668,24983,89668,0.00,587.37,0,3439.64,0.83,2383,0,13781,0.83,0.63
46,4.14,40960,1675.58,4250,,4.14,0.37,20.86,0.82,40960,24983,89668,0.75,1675.58,0,3439.64,0.51,4250,0,13781,0.69,0.70
47,0.58,31695,453.2,5,,0.58,0.37,20.86,0.99,31695,24983,89668,0.90,453.2,0,3439.64,0.87,5,0,13781,1.00,0.94
48,0.37,29139,167.42,1,,0.37,0.37,20.86,1.00,29139,24983,89668,0.94,167.42,0,3439.64,0.95,1,0,13781,1.00,0.97
49,0.41,26045,0,0,,0.41,0.37,20.86,1.00,26045,24983,89668,0.98,0,0,3439.64,1.00,0,0,13781,1.00,1.00
50,0.64,25686,0,0,,0.64,0.37,20.86,0.99,25686,24983,89668,0.99,0,0,3439.64,1.00,0,0,13781,1.00,0.99
51,0.89,24983,529.28,2000,,0.89,0.37,20.86,0.97,24983,24983,89668,1.00,529.28,0,3439.64,0.85,2000,0,13781,0.85,0.92
52,1.13,36807,676.94,3125,,1.13,0.37,20.86,0.96,36807,24983,89668,0.82,676.94,0,3439.64,0.80,3125,0,13781,0.77,0.84
53,5.16,46455,466.13,2450,,5.16,0.37,20.86,0.77,46455,24983,89668,0.67,466.13,0,3439.64,0.86,2450,0,13781,0.82,0.78
54,7.02,77639,96.6,150,,7.02,0.37,20.86,0.68,77639,24983,89668,0.19,96.6,0,3439.64,0.97,150,0,13781,0.99,0.78
55,2.16,43340,313.13,0,,2.16,0.37,20.86,0.91,43340,24983,89668,0.72,313.13,0,3439.64,0.91,0,0,13781,1.00,0.89
56,0.9,37735,3388.4,13781,,0.9,0.37,20.86,0.97,37735,24983,89668,0.80,3388.4,0,3439.64,0.01,13781,0,13781,0.00,0.63
57,1.08,28125,478.48,2432,,1.08,0.37,20.86,0.97,28125,24983,89668,0.95,478.48,0,3439.64,0.86,2432,0,13781,0.82,0.90
58,0.65,27727,89.77,1,,0.65,0.37,20.86,0.99,27727,24983,89668,0.96,89.77,0,3439.64,0.97,1,0,13781,1.00,0.98
59,0.45,32509,314.84,8,,0.45,0.37,20.86,1.00,32509,24983,89668,0.88,314.84,0,3439.64,0.91,8,0,13781,1.00,0.95
60,0.48,35112,872.13,1,,0.48,0.37,20.86,0.99,35112,24983,89668,0.84,872.13,0,3439.64,0.75,1,0,13781,1.00,0.90
61,2.99,41779,160.18,567,,2.99,0.37,20.86,0.87,41779,24983,89668,0.74,160.18,0,3439.64,0.95,567,0,13781,0.96,0.89
62,9.76,81919,120.37,300,,9.76,0.37,20.86,0.54,81919,24983,89668,0.12,120.37,0,3439.64,0.97,300,0,13781,0.98,0.74
63,2.74,68070,256.69,1200,,2.74,0.37,20.86,0.88,68070,24983,89668,0.33,256.69,0,3439.64,0.93,1200,0,13781,0.91,0.80
